слово,ударение
аэропорты,аэропОрты
аэропорт,аэропОрт
банты,бАнты
бороду,бОроду
борода,бородА
бухгалтеров,бухгАлтеров
бухгалтер,бухгАлтер
вероисповедание,вероисповЕдание
водопровод,водопровОд
газопровод,газопровОд
гражданство,граждАнство
дефис,дефИс
дешевизна,дешевИзна
диспансер,диспансЕр
договорённость,договорЁнность
документ,докумЕнт
досуг,досУг
еретик,еретИк
жалюзи,жалюзИ
значимость,знАчимость
иксы,Иксы
каталог,каталОг
квартал (во всех значениях),квартАл (во всех значениях)
километр,киломЕтр
конусов,кОнусов
конус,кОнус
корысть,корЫсть
краны,крАны
кремень,кремЕнь
кремня,кремнЯ
лекторов,лЕкторов
лектор,лЕктор
локтя,лОктя
локоть,лОкоть
локтей,локтЕй
лыжня,лыжнЯ
местностей,мЕстностей
местность,мЕстность
намерение,намЕрение
недруг,нЕдруг
недуг,недУг
некролог,некролОг
ненависть,нЕнависть
нефтепровод,нефтепровОд
новостей,новостЕй
новость,нОвость
ногтя,нОгтя
ноготь,нОготь
ногтей,ногтЕй
отзыв (о книге),Отзыв (о книге)
отзыв (посла из страны),отзЫв (посла из страны)
отозвать,отозвАть
отрочество,Отрочество
партер,партЕр
портфель,портфЕль
приданое,придАное
призыв,призЫв
свёкла,свЁкла
сироты,сирОты
сирота,сиротА
созыв,созЫв
сосредоточение,сосредотОчение
средства,срЕдства
средство,срЕдство
статуя,стАтуя
столяр,столЯр
таможня,тамОжня
торты,тОрты
туфля,тУфля
цемент,цемЕнт
центнер,цЕнтнер
цепочка,цепОчка
шарфы,шАрфы
шофёр,шофЁр
эксперт,экспЕрт
верна,вернА
верный,вЕрный
значимый,знАчимый
красивее,красИвее
красивый,красИвый
красивейший,красИвейший
кухонный,кУхонный
ловка,ловкА
ловкий,лОвкий
мозаичный,мозаИчный
оптовый,оптОвый
прозорливый,прозорлИвый
прозорлива,прозорлИва
сливовый,слИвовый
брала,бралА
брать,брАть
бралась,бралАсь
браться,брАться
взяла,взялА
взять,взЯть
взялась,взялАсь
взяться,взЯться
влилась,влилАсь
влиться,влИться
ворвалась,ворвалАсь
ворваться,ворвАться
воспринять,воспринЯть
восприняла,воспринялА
воссоздала,воссоздалА
воссоздать,воссоздАть
вручит,вручИт
вручить,вручИть
гнала,гналА
гнать,гнАть
гналась,гналАсь
гнаться,гнАться
добрала,добралА
добрать,добрАть
добралась,добралАсь
добраться,добрАться
дождалась,дождалАсь
дождаться,дождАться
дозвонится,дозвонИтся
дозвониться,дозвонИться
дозировать,дозИровать
ждала,ждалА
закупорить,закУпорить
занять,занЯть
занял,зАнял
заняла,занялА
заняли,зАняли
заперла,заперлА
запереть,заперЕть
запломбировать,запломбировАть
защемит,защемИт
защемить,защемИть
звала,звалА
звать,звАть
звонит,звонИт
звонить,звонИть
кашлянуть,кАшлянуть
клала,клАла
класть,клАсть
клеить,клЕить
кралась,крАлась
красться,крАсться
кровоточить,кровоточИть
лгала,лгалА
лгать,лгАть
лила,лилА
лилась,лилАсь
литься,лИться
наделит,наделИт
наделить,наделИть
надорвалась,надорвалАсь
надорваться,надорвАться
назвалась,назвалАсь
назваться,назвАться
накренится,накренИтся
накрениться,накренИться
налила,налилА
налить,налИть
нарвала,нарвалА
нарвать,нарвАть
начать,начАть
начал,нАчал
начала,началА
начали,нАчали
обзвонит,обзвонИт
обзвонить,обзвонИть
облегчить,облегчИть
облегчит,облегчИт
облилась,облилАсь
облиться,облИться
обнялась,обнялАсь
обняться,обнЯться
обогнала,обогналА
обогнать,обогнАть
ободрала,ободралА
ободрать,ободрАть
ободрить,ободрИть
ободрит,ободрИт
ободриться,ободрИться
ободрится,ободрИтся
обострить,обострИть
одолжить,одолжИть
одолжит,одолжИт
озлобить,озлОбить
оклеить,оклЕить
окружит,окружИт
окружить,окружИть
опошлить,опОшлить
осведомиться,освЕдомиться
осведомится,освЕдомится
отбыла,отбылА
отбыть,отбЫть
отдала,отдалА
отдать,отдАть
откупорить,откУпорить
отозвала,отозвалА
отозвать,отозвАть
отозвалась,отозвалАсь
отозваться,отозвАться
перезвонит,перезвонИт
перезвонить,перезвонИть
перелила,перелилА
перелить,перелИть
плодоносить,плодоносИть
пломбировать,пломбировАть
повторит,повторИт
повторить,повторИть
позвала,позвалА
позвать,позвАть
позвонит,позвонИт
позвонить,позвонИть
полила,полилА
полить,полИть
положить,положИть
положил,положИл
понять,понЯть
поняла,понялА
послала,послАла
послать,послАть
прибыть,прибЫть
прибыл,прИбыл
прибыла,прибылА
прибыли,прИбыли
принять,принЯть
принял,прИнял
приняла,принялА
приняли,прИняли
рвала,рвалА
рвать,рвАть
сверлит,сверлИт
сверлить,сверлИть
сняла,снялА
снять,снЯть
создала,создалА
создать,создАть
сорвала,сорвалА
сорвать,сорвАть
убрала,убралА
убрать,убрАть
углубить,углубИть
укрепит,укрепИт
укрепить,укрепИть
черпать,чЕрпать
щемит,щемИт
щемить,щемИть
щёлкать,щЁлкать
довезённый,довезЁнный
загнутый,зАгнутый
занятый,зАнятый
занята,занятА
запертый,зАпертый
заселённый,заселЁнный
заселена,заселенА
кровоточащий,кровоточАщий
наживший,нажИвший
наливший,налИвший
нанявшийся,нанЯвшийся
начавший,начАвший
начатый,нАчатый
низведённый,низведЁнный
облегчённый,облегчЁнный
ободрённый,ободрЁнный
обострённый,обострЁнный
отключённый,отключЁнный
повторённый,повторЁнный
поделённый,поделЁнный
понявший,понЯвший
принятый,прИнятый
принята,принятА
приручённый,приручЁнный
проживший,прожИвший
снята,снятА
снятый,снЯтый
согнутый,сОгнутый
углублённый,углублЁнный
закупорив,закУпорив
начав,начАв
начавшись,начАвшись
отдав,отдАв
поняв,понЯв
прибыв,прибЫв
создав,создАв
вовремя,вОвремя
доверху,дОверху
донизу,дОнизу
досуха,дОсуха
засветло,зАсветло
красивее,красИвее
красиво,красИво
надолго,надОлго
ненадолго,ненадОлго
принудить,принУдить
исчерпать,исчЕрпать
(ему) завидно,завИдно
донельзя,донЕльзя
добела,добелА
загодя,зАгодя
