masked,correct
(в) колыш..щейся (ржи),колышущейся
(включить) пр..ёмник,приёмник
(всероссийские) ..дравницы,здравницы
(выехать) засветл..,засветло
(глаза) забл..стели,заблестели
(камень) пр..ткновения,преткновения
(лесной) объезд..ик,объездчик
(летит) стр..ла,стрела
(металл) нак..лился,накалился
(молодая) пор..сль (кустов),поросль
(мы) пляш..м,пляшем
(не) прид..рёшься,придерёшься
(отремонтировать) ..дание,здание
(пилить) нож..вкой,ножовкой
(покрытый) ин..ем,инеем
(ранняя) с..дина,седина
(резиновые) сап..ги,сапоги
(рыболовный) сач..к,сачок
(свернуть) влев..,влево
(сделать) запрост..,запросто
(соловьи) засвищ..т,засвищут
(улицы) обезлюд..ли,обезлюдели
(цветок) ув..дает,увядает
..моральное (поведение),аморальное
..социальное (явление),асоциальное
Пр..морье,Приморье
аб..туриент,абитуриент
абон..мент,абонемент
ад..ютант,адъютант
адр..совать,адресовать
ак..демия,академия
акад..мический,академический
алюмини..вый,алюминиевый
англо-рус..кий,англо-русский
анн..тация,аннотация
ант..научный,антинаучный
ант..художественный,антихудожественный
антин..учный,антинаучный
апл..дисменты,аплодисменты
аплодир..вать,аплодировать
ар..ергард,арьергард
арх..важный,архиважный
асф..льтированный,асфальтированный
асф..льтировать,асфальтировать
аукц..он,аукцион
аф..ристичный,афористичный
б..гровый,багровый
б..лкон,балкон
б..ллетень,бюллетень
б..снописец,баснописец
б..ющийся,бьющийся
бар..льеф,барельеф
бе..болезненно,безболезненно
бе..болезненный,безболезненный
бе..брежный,безбрежный
бе..вестный,безвестный
бе..вкусный,безвкусный
бе..выходное,безвыходное
бе..голосый,безголосый
бе..граничный,безграничный
бе..дельник,бездельник
бе..жалостный,безжалостный
бе..земельный,безземельный
бе..компромиссный,бескомпромиссный
бе..контрольный,бесконтрольный
бе..перспективный,бесперспективный
бе..помощный,беспомощный
бе..порядочный,беспорядочный
бе..принципный,беспринципный
бе..пробудный (сон),беспробудный
бе..сердечный,бессердечный
бе..срочный,бессрочный
бе..хозный,бесхозный
бе..цельный,бесцельный
бе..человечный,бесчеловечный
бе..численный,бесчисленный
бе..шовный,бесшовный
без..дейный,безыдейный
без..ндукционный,безындукционный
без..нициативный,безынициативный
без..нтересный,безынтересный
без..скусный,безыскусный
без..сходный,безысходный
без..ядерный,безъядерный
без..языкий,безъязыкий
бел..зна,белизна
бел..зна (снега),белизна
беле..щий,белеющий
